#{"t_start": 1629205224.2267869, "env_id": null}
r,l,t
-9.666667,4,15.067895
-0.777778,3,15.076403
-9.666667,4,15.086378
-9.777778,3,15.095397
-9.888889,2,15.10038
-9.666667,4,15.11034
-9.666667,4,15.119314
-9.888889,2,15.125307
-0.777778,3,15.13325
-9.666667,4,15.143231
-9.888889,2,15.148224
-9.777778,3,15.156197
-9.888889,2,15.162132
-9.777778,3,15.169225
-9.888889,2,15.17516
-0.777778,3,15.183134
-0.777778,3,15.192148
-9.888889,2,15.197135
-9.777778,3,15.205108
-9.777778,3,15.213081
-9.777778,3,15.241725
-0.777778,3,15.257192
-0.777778,3,15.267113
-9.888889,2,15.273093
-0.777778,3,15.282115
-9.777778,3,15.290943
-9.777778,3,15.290943
-9.666667,4,15.306567
-0.777778,3,15.306567
-9.888889,2,15.32219
-0.777778,3,15.32219
-9.777778,3,15.337813
-9.666667,4,15.337813
-9.666667,4,15.353437
-9.666667,4,15.353437
-9.777778,3,15.36906
-9.888889,2,15.36906
-0.777778,3,15.384683
-0.777778,3,15.384683
-0.777778,3,15.400307
-9.777778,3,15.400307
-0.777778,3,15.41593
-9.777778,3,15.41593
-9.888889,2,15.431554
-9.777778,3,15.431554
-9.777778,3,15.447177
-0.777778,3,15.447177
-9.888889,2,15.467772
-9.888889,2,15.468802
-9.777778,3,15.468802
-9.777778,3,15.484435
-0.777778,3,15.484435
-9.888889,2,15.50005
-0.777778,3,15.50005
-9.777778,3,15.515674
-0.777778,3,15.515674
-9.777778,3,15.531297
-9.888889,2,15.531297
-9.777778,3,15.546921
-0.777778,3,15.546921
-9.777778,3,15.567615
-0.777778,3,15.575649
-0.777778,3,15.586597
-9.666667,4,15.595561
-9.888889,2,15.622834
-9.666667,4,15.63738
-9.888889,2,15.644937
-9.888889,2,15.650005
-9.888889,2,15.654947
-9.777778,3,15.662928
-0.777778,3,15.67189
-9.777778,3,15.675073
-0.777778,3,15.675073
1.333333,4,15.690747
-0.777778,3,15.690747
-0.777778,3,15.715336
-0.777778,3,15.725284
-0.777778,3,15.736234
-9.777778,3,15.745192
-0.777778,3,15.754127
-9.777778,3,15.762155
-0.777778,3,15.771079
-9.777778,3,15.773735
-9.888889,2,15.773735
-9.777778,3,15.789408
-9.888889,2,15.789408
-9.777778,3,15.805035
-9.777778,3,15.805035
0.444444,5,15.820656
-0.777778,3,15.820656
-9.888889,2,15.836282
-9.777778,3,15.836282
-9.666667,4,15.851893
-9.888889,2,15.851893
-0.777778,3,15.867477
-0.777778,3,15.867477
